Company Name,Job Title,Job Description,Minimum Qualification,Location,Total Experience,Key Skills,Salary/Wage Type,Nature of Job,Salary,Number of Openings,Search Keyword
Apna (On behalf of Dynamic Power Corporation)Click here for more details,Electrician,"Monitoring Electrical parameters of the LT Panels like Current, Voltage, PF etc. Attend complaints like tripping issues and replacing faulty light fittings and MCBs with new one.",Apna (On behalf of Dynamic Power Corporation)Click here for more details,"MumbaiDistrict: Mumbai, State: Maharashtra",0 - 31,"wires, Wiring Diagrams, Electrical Works, Electrical Systems, Electrical Wiring, electrical distribution, Electrical Equipments, Electric motors replacement, Wiring circuits, Cabling knowledge, Electrical installation knowledge, Electrical connections, Electrical transmission",Monthly,Full Time,18000 - 25000,1,electrician
Apna (On behalf of Geo Protection System)Click here for more details,Electrical Technician,I need a electrical electrician for field work and project work like cable tray cable laying all power cable power cable termination,Apna (On behalf of Geo Protection System)Click here for more details,"CentralDistrict: Central, State: Delhi",3 - 31,"Cable Installation, Cabling knowledge",Monthly,Full Time,15000 - 25000,1,electrician
Apna (On behalf of Alien Technologies)Click here for more details,Electrician,"Job Title: Electrician  Smart Devices & Automation
Location: Hyderabad
 Industry: Home Automation / Smart Living Solutions
 Experience: 13 years preferred in electrical installations or automation systems
  

Key Responsibilities:
 Install and configure smart home/office devices (automation switches, sensors, curtains, etc.)
 Read and interpret wiring diagrams and system schematics
 Coordinate with technical teams for successful deployment of automation products
 Visit client sites for installation, setup, and configuration
 Provide hands-on training to clients on how to use smart devices
 Troubleshoot and resolve service tickets or technical complaints
 Maintain proper documentation of all jobs completed
 Ensure safety protocols and wiring standards are followed at all times

  

Skills Required:
 Strong knowledge of electrical wiring and installation practices
 Familiarity with smart devices (Wi-Fi, Zigbee, Z-Wave, etc.) is an added advantage
 Customer service orientation  ability to explain issues and solutions clearly
 Basic communication in English, Hindi, or local language
 Two-wheeler license preferred (for onsite visits)

  

Qualifications:
ITI / Diploma in Electrical or Electronics
Previous experience with automation or low-voltage systems is a plus",Apna (On behalf of Alien Technologies)Click here for more details,"HyderabadDistrict: Hyderabad, State: Telangana",0 - 31,Electrician / Wireman,Monthly,Full Time,10000 - 25000,1,electrician
Apna (On behalf of AK Enterprises)Click here for more details,Electrician,Looking for candidates for Electrician,Apna (On behalf of AK Enterprises)Click here for more details,N/A,5 - 31,Electrician / Wireman,Monthly,Full Time,13000 - 16000,1,electrician
Apna (On behalf of New India Enterprises)Click here for more details,Electrician,Looking for candidates for Electrician,Apna (On behalf of New India Enterprises)Click here for more details,"MumbaiDistrict: Mumbai, State: Maharashtra",1 - 31,"wires, Cable Management, Cable Installation, drills, Cabling knowledge",Monthly,Full Time,15000 - 20000,1,electrician
Apna (On behalf of Karan Grand Celebration 2)Click here for more details,Electrician,We need Electrician to maintain the property and do the regular checkup for everything,Apna (On behalf of Karan Grand Celebration 2)Click here for more details,N/A,3 - 31,Electrician / Wireman,Monthly,Full Time,14000 - 18000,1,electrician
Apna (On behalf of Aqua Hospitality)Click here for more details,Electrician,Electrician/Wireman needed for Inhouse Hotel Work,Apna (On behalf of Aqua Hospitality)Click here for more details,N/A,2 - 31,Electrician / Wireman,Monthly,Full Time,13000 - 18000,1,electrician
Apna (On behalf of Talentspring Staffing)Click here for more details,ITI Technician – HVAC / Mechanical / Electrical (Pharma Industry),"Should be familiar with:
HVAC operation & maintenance
DG, chillers, compressors, AHU, VFD systems
Electrical control panels, wiring, safety procedures
Pumps, motors, conveyors, valves
Knowledge of GMP/Cleanroom norms is preferred

Key Responsibilities:
Operate and monitor HVAC systems, chillers, AHUs, compressors, and ventilation units
Perform maintenance of electrical systems, panels, wiring, and motors
Support mechanical operations including pumps, pipelines, conveyors, and utility equipment
Follow SOPs and GMP guidelines within pharma production and utility areas
Log routine readings, assist in breakdown maintenance, and ensure equipment uptime
Report issues and coordinate with engineering teams for preventive and corrective actions
 Qualifications & Skills:ITI Pass  Electrician / Fitter / HVAC / R&AC / Mechanical
Minimum 15 years of experience in pharma, biotech, or industrial plants
Ability to work in rotational shifts (day/night)
Basic understanding of safety protocols, cleanroom procedures, and engineering documentation
Maintain records, preventive maintenance schedules, follow SOPs etc.",Apna (On behalf of Talentspring Staffing)Click here for more details,"HyderabadDistrict: Hyderabad, State: Telangana",2 - 31,Heating / Ventilation / Air conditioning (HVAC),Monthly,Full Time,25000 - 40000,1,electrician
Apna (On behalf of SK Engineering)Click here for more details,Electrician,"We are seeking an experienced Field Repair and Maintenance Technician to join our team. This role requires a skilled professional with extensive experience in repair and maintenance tasks. As a Field Technician, you will be responsible for performing a variety of maintenance and repair tasks on-site at different locations, ensuring that all equipment and systems are functioning optimally. Bike is mandatory for this jon M- 7303221067",Apna (On behalf of SK Engineering)Click here for more details,"GhaziabadDistrict: Ghaziabad, State: Uttar Pradesh",0 - 31,"wires, Maintenance Engineering, Cable Management, Electrical Works, Electrical Systems, Electrical Wiring, electrical distribution, Electrical Equipments, drills, Wiring circuits, Cabling knowledge, Electrical installation knowledge, Electrical connections, Electrical transmission",Monthly,Full Time,15000 - 18000,1,electrician
Apna (On behalf of Fesper Engineering Private Limited)Click here for more details,Electrician,"Testing control panels according to given testing protocol ,pack and dispatch based on daily target",Apna (On behalf of Fesper Engineering Private Limited)Click here for more details,"ChennaiDistrict: Chennai, State: Tamil Nadu",0 - 31,"Wiring Diagrams, Electrical Works, Electrical Wiring, Electrical Equipments, Wiring circuits, Electrical installation knowledge, Electrical connections",Monthly,Full Time,15000 - 18000,1,electrician
Apna (On behalf of Iris Infotech Solutions)Click here for more details,Electrician,"Core Responsibilities:
Installation:
Installing electrical systems, including wiring, outlets, switches, lighting fixtures, and other electrical components.
Maintenance and Repair:
Ensuring the proper functioning of electrical systems by performing routine maintenance, troubleshooting issues, and repairing or replacing faulty components.
Troubleshooting:
Diagnosing electrical problems using specialized tools and techniques to identify the root cause of malfunctions and implement effective solutions.
Safety Compliance:
Adhering to safety regulations and codes to ensure all electrical work is performed safely and meets industry standards.
Interpretation of Drawings:
Reading and understanding blueprints, schematics, and diagrams to guide the installation and repair of electrical systems.
Cost Estimation:
Estimating the cost of materials, labor, and other resources required for electrical projects.
Record Keeping:
Maintaining accurate records of electrical work performed, including materials used, costs, and any modifications made to the system.
Supervision:
In some cases, supervising and training other electricians or apprentices.

Specific Tasks:
Installing and maintaining electrical wiring in buildings.
Installing and repairing lighting fixtures and controls.
Installing and maintaining electrical components like circuit breakers, transformers, and motors.
Troubleshooting and repairing electrical systems in various settings, including homes, businesses, and industrial facilities.
Testing and inspecting electrical systems to ensure they are safe and functioning correctly.
Working with contractors, architects, and other professionals on construction and renovation projects.
Staying up-to-date on the latest electrical codes and regulations.
Using tools like multimeters, wire strippers, and power drills.
Working with both low voltage and high voltage systems.
Performing emergency electrical repairs.",Apna (On behalf of Iris Infotech Solutions)Click here for more details,N/A,3 - 31,"wires, Cable Management, Electrical Works, Panel Wiring, Electrical Wiring, resistors, Inductors, Cable Installation, Electrical Equipments, Electric motors replacement, Wiring circuits, Cabling knowledge, Electrical installation knowledge, Electrical connections, Transistors",Monthly,Full Time,15000 - 20000,1,electrician
Apna (On behalf of Quess Corp Limited)Click here for more details,Meter Installation,"*Walk-In Interview - Electrician (Installer)* 

 *Date:* Saturday , 30th July 2025
 *Time:* 9:00 AM - 4:00 PM
 *Job Locations:* All across *Mumbai*
 *Interview Venue:* Quess Corp Ltd, Ahura Centre, B-Wing, 5th Floor, Mahakali Caves Rd, Andheri East, Mumbai - 400093

 *Apply Now:* https://forms.gle/hb6gjFqcqZw4F6F79

 Role: Meter Installation

 *Eligibility:* ITI Electrician/Wireman preferred or basic electrical knowledge. Own bike + valid license

 *Earnings:* Urban: 90-100/meter (e.g. 700 meters = 70,000) Rural: 120-135/meter (e.g. 700 meters = 94,500)

 *Top Earner Last Month: 1,40,500*

 *Contact:*
Subhash Yadav -9769014424

Regards,
Quess Corp",Apna (On behalf of Quess Corp Limited)Click here for more details,"RaigarhDistrict: Raigarh, State: Maharashtra",0 - 31,"wires, Electrical Works, Electrical Wiring, Electrical Equipments, Wiring circuits, Electrical installation knowledge, Electrical connections",Monthly,Full Time,35000 - 95000,1,electrician
Apna (On behalf of NMS Group)Click here for more details,Electrical Technician,"Urgent Joining For New Open Solar controller Manufacturing

Job Openings Post :- Production, Quality, Testing, Soldering, Store, R&D, Sales,PCB Technician.
Education :- ITI / Diploma/ BE Electrician / Electronics / Wireman/ DE&TC / BE&TC

Payment:- 16000 to 23500 + EPF,ESIC, Bonus, Leave. (INCENTIVE IS PERFORMANCE BASED AND NOT INCLUDED IN SALARY)

Duty Job Timing ,:-
9:00 to 5:30
6:00 to 2:30
2:30 to 11:00
Sunday weekly Off

PCB fitment and Parameter and controller testing

1) ITI/Diploma BE in electrical/electronics.
2) 0-5 Yrs electronics and electrical experience.
3)Basic knowledge of Electronics and Electrical
4) Good team management Skill.
5) Basic knowledge of computers.
6) Worked on AC or DC voltages, Current

Soldering Technician Job
Job Descriptions:
 Worked on Soldering / de-soldering of different Electronics component packages like TQFP, TSSOP, SOIC etc.);
 Worked on AC or DC voltages, Current, VFDs drives testing & measurement;
 Basic knowledge of Electronics / Electrical components, testing & Packages like SMDs, DIP etc.;
 Capable to read, debug electronics circuit, PCBs, system, & PCB assembly No Bus canteen facilities
 Interview Company Address :-NMS SOLUTIONS PRIVATE LIMITED

Address: Canal Road,Laxmi Chowk Near ,Shinde Wasti Marunji Road, Hinjewadi.

Direct Interview

Jobs openings Production, Quality, Testing, Soldering, In word Quality,Store, technician, Helper

  :- NMS Group  8830914925",Apna (On behalf of NMS Group)Click here for more details,"PuneDistrict: Pune, State: Maharashtra",0 - 31,"Electrical Engineering, Electrical Components, Electronics engineering, Soldering, PCB soldering, Electrical Works, Panel Wiring, PCB Knowledge, Electrical Wiring, Electrical Equipments, Solar panels installation, Electrical connections, Electrical assembly, Electrical System Design",Monthly,Full Time,16000 - 33500,1,electrician
Apna (On behalf of Quess Corp Limited)Click here for more details,Meter Installation,"*Walk-In Interview - Electrician (Installer)* 

 *Date:* Wednesday , 30th July 2025
 *Time:* 9:00 AM - 4:00 PM
 *Job Locations:* All across *Mumbai*
 *Interview Venue:* Quess Corp Ltd, Ahura Centre, B-Wing, 5th Floor, Mahakali Caves Rd, Andheri East, Mumbai - 400093

 *Apply Now:* https://forms.gle/hb6gjFqcqZw4F6F79

 Role: Meter Installation

 *Eligibility:* ITI Electrician/Wireman preferred or basic electrical knowledge. Own bike + valid license

 *Earnings:* Urban: 90-100/meter (e.g. 700 meters = 70,000) Rural: 120-135/meter (e.g. 700 meters = 94,500)

 *Top Earner Last Month: 1,40,500*

 *Contact:*
Subhash Yadav -9769014424

Regards,
Quess Corp",Apna (On behalf of Quess Corp Limited)Click here for more details,"SindhudurgDistrict: Sindhudurg, State: Maharashtra",0 - 31,"wires, Electrical Works, Electrical Wiring, Electrical Equipments, Wiring circuits, Electrical installation knowledge, Electrical connections",Monthly,Full Time,35000 - 95000,1,electrician
Apna (On behalf of Quess Corp Limited)Click here for more details,Meter Installation,"*Walk-In Interview - Electrician (Installer)* 

 *Date:* Wednesday , 30th July 2025
 *Time:* 9:00 AM - 4:00 PM
 *Job Locations:* All across *Mumbai*
 *Interview Venue:* Quess Corp Ltd, Ahura Centre, B-Wing, 5th Floor, Mahakali Caves Rd, Andheri East, Mumbai - 400093

 *Apply Now:* https://forms.gle/hb6gjFqcqZw4F6F79

 Role: Meter Installation

 *Eligibility:* ITI Electrician/Wireman preferred or basic electrical knowledge. Own bike + valid license

 *Earnings:* Urban: 90-100/meter (e.g. 700 meters = 70,000) Rural: 120-135/meter (e.g. 700 meters = 94,500)

 *Top Earner Last Month: 1,40,500*

 *Contact:*
Subhash Yadav -9769014424

Regards,
Quess Corp",Apna (On behalf of Quess Corp Limited)Click here for more details,"MumbaiDistrict: Mumbai, State: Maharashtra",0 - 31,"wires, Electrical Works, Electrical Wiring, Electrical Equipments, Wiring circuits, Electrical installation knowledge, Electrical connections",Monthly,Full Time,35000 - 95000,1,electrician
Apna (On behalf of Kazam Ev Tech Private Limited)Click here for more details,Electrical Technician,"We are hiring ITI or Diploma-qualified Electrical Engineers/Technicians for the installation of Electric Vehicle (EV) charging stations. The role includes executing electrical installations, laying proper earthing systems, conducting safety checks, and ensuring the reliable setup of EV chargers as per industry standards.

Key Responsibilities:Installation Work:

Install EV charging stations (AC and DC types) at various customer or public sites.
Perform electrical wiring, termination, cable routing, and conduit installations.
Earthing System:

Install proper earthing systems, including earth pits and grounding conductors.
Measure earth resistance and ensure compliance with electrical safety standards.
Site Readiness:

Support in preparing the site for charger installation, including trenching and mounting.
Ensure correct alignment and mechanical fixing of chargers.
Testing and Verification:

Assist in pre-commissioning tests (earth resistance, insulation resistance, voltage checks).
Work with senior engineers to troubleshoot basic faults.
Safety and Compliance:

Follow electrical safety standards and PPE guidelines during all work.
Adhere to standard operating procedures and client-specific instructions.
Reporting and Documentation:

Fill in installation checklists and basic site reports.
Take photos and maintain installation records as per site protocol.


Qualifications:Education:
ITI in Electrician/Wireman or
Diploma in Electrical Engineering



Key Skills:Basic knowledge of single-phase and three-phase wiring
Understanding of earthing/grounding techniques
Ability to read basic electrical diagrams
Familiar with use of testing tools (megger, multimeter, clamp meter, earth tester)
Safety-conscious and physically fit for site work",Apna (On behalf of Kazam Ev Tech Private Limited)Click here for more details,"JaipurDistrict: Jaipur, State: Rajasthan",0 - 31,N/A,Monthly,Full Time,15000 - 25000,1,electrician
Apna (On behalf of AK Enterprises)Click here for more details,Electrician,Looking for candidates for Electrician,Apna (On behalf of AK Enterprises)Click here for more details,N/A,5 - 31,Electrician / Wireman,Monthly,Full Time,13000 - 16000,1,electrician
Apna (On behalf of New India Enterprises)Click here for more details,Electrician,Looking for candidates for Electrician,Apna (On behalf of New India Enterprises)Click here for more details,"MumbaiDistrict: Mumbai, State: Maharashtra",1 - 31,"wires, Cable Management, Cable Installation, drills, Cabling knowledge",Monthly,Full Time,15000 - 20000,1,electrician
Apna (On behalf of Pranavam Infotech)Click here for more details,Cable Technician,"1. Run and pull coaxial, Fiber optic, or Ethernet cables through walls, ceilings, and underground spaces.
2. Perform signal testing and troubleshooting using specialized equipment (e.g., meters, toners).
3. Repair or replace faulty cabling, connectors, or equipment.
4. Provide excellent customer service and explain technical information to non-technical users.
5. Follow safety procedures and comply with company and localregulations.",Apna (On behalf of Pranavam Infotech)Click here for more details,"BangaloreDistrict: Bangalore, State: Karnataka",0 - 31,Electrician / Wireman,Monthly,Full Time,18000 - 25000,1,electrician
Apna (On behalf of Elite Technosys)Click here for more details,Electrician,"Duties/Responsibilities:
 Installs and repairs electrical wiring, systems, and fixtures in buildings.
 Installs conduits and pipes to house electrical wires and cables.
 Ensures piping complies with electrical codes.
 Installs circuit breakers and other electrical hardware and connects
wiring to them.
 Connects electrical systems to powerlines to provide electricity to the
building.
 Tests electrical systems to ensure proper installation and operation.
 Inspects electrical systems to determine whether repairs are needed.
 Replaces conduit and wiring as needed.
 Replaces circuit breakers as needed.
 Performs other related duties as assigned.
Required Skills/Abilities:
 Ability to read blueprints.
 Extensive knowledge of electrical systems and wiring.
 Ability to use hand tools and power tools.
 Proficient in the use of test meters and other diagnostic equipment.
 Excellent analytical and problem-solving skills.",Apna (On behalf of Elite Technosys)Click here for more details,N/A,0 - 31,"Security Monitoring, Installation, Equipment Installation, Electrical Works, Surveillance, security systems, Cctv Installation, CCTV maintenance, CCTV operations, Cabling knowledge, Electrical connections",Monthly,Full Time,10000 - 20000,1,electrician
Apna (On behalf of Ajanta Advertisers)Click here for more details,Electrician,"Company Name: Ajanta Advertisers
Position: Electrician
Location: Bhubaneswar
Experience: 2 to 5 years
Qualification: ITI & DIPLOMA in Electrical Branch
Salary: Rs. 12,000/- to Rs. 20,000/-
Timing- 10am to 10pm

Electrical Wiring, Maintenance and other electrical work.
Ability to do electrical wiring accurately Ability to perform electrical tests, read results and diagnose and repair electrical problems Problem-solving Critical thinking Circuit knowledge Time management Strong work ethic Planning and monitoring the day-to-day activities of work.
Proven experience in supervising field operations
. Having good technical knowledge
 Must have a good phone & Two wheeler
. Petrol expenses will be given extra",Apna (On behalf of Ajanta Advertisers)Click here for more details,N/A,2 - 31,"Panel Wiring, Electrical Wiring, Cable Installation, Wiring circuits, Cabling knowledge",Monthly,Full Time,N/A,1,electrician
Apna (On behalf of Dynamic Power Corporation)Click here for more details,Electrician,"Monitoring Electrical parameters of the LT Panels like Current, Voltage, PF etc. Attend complaints like tripping issues and replacing faulty light fittings and MCBs with new one.",Apna (On behalf of Dynamic Power Corporation)Click here for more details,"MumbaiDistrict: Mumbai, State: Maharashtra",0 - 31,"wires, Wiring Diagrams, Electrical Works, Electrical Systems, Electrical Wiring, electrical distribution, Electrical Equipments, Electric motors replacement, Wiring circuits, Cabling knowledge, Electrical installation knowledge, Electrical connections, Electrical transmission",Monthly,Full Time,18000 - 25000,1,electrician
Apna (On behalf of Alien Technologies)Click here for more details,Electrician,"Job Title: Electrician  Smart Devices & Automation
Location: Hyderabad
 Industry: Home Automation / Smart Living Solutions
 Experience: 13 years preferred in electrical installations or automation systems
  

Key Responsibilities:
 Install and configure smart home/office devices (automation switches, sensors, curtains, etc.)
 Read and interpret wiring diagrams and system schematics
 Coordinate with technical teams for successful deployment of automation products
 Visit client sites for installation, setup, and configuration
 Provide hands-on training to clients on how to use smart devices
 Troubleshoot and resolve service tickets or technical complaints
 Maintain proper documentation of all jobs completed
 Ensure safety protocols and wiring standards are followed at all times

  

Skills Required:
 Strong knowledge of electrical wiring and installation practices
 Familiarity with smart devices (Wi-Fi, Zigbee, Z-Wave, etc.) is an added advantage
 Customer service orientation  ability to explain issues and solutions clearly
 Basic communication in English, Hindi, or local language
 Two-wheeler license preferred (for onsite visits)

  

Qualifications:
ITI / Diploma in Electrical or Electronics
Previous experience with automation or low-voltage systems is a plus",Apna (On behalf of Alien Technologies)Click here for more details,"HyderabadDistrict: Hyderabad, State: Telangana",0 - 31,Electrician / Wireman,Monthly,Full Time,10000 - 25000,1,electrician
Apna (On behalf of Best CCTV Services)Click here for more details,Electrician,Electrician knowledge must And byk,Apna (On behalf of Best CCTV Services)Click here for more details,"JaipurDistrict: Jaipur, State: Rajasthan",0 - 31,Electrician / Wireman,Monthly,Full Time,10000 - 15000,1,electrician
Apna (On behalf of Sai Raj Power Tech)Click here for more details,Electrician,"inverter batteries service 
solar service 
inverter battery installation
solar on Grid  installation",Apna (On behalf of Sai Raj Power Tech)Click here for more details,"HyderabadDistrict: Hyderabad, State: Telangana",0 - 31,Electrician / Wireman,Monthly,Full Time,12000 - 25000,1,electrician
Apna (On behalf of SK Engineering)Click here for more details,Electrician,"We are seeking an experienced Field Repair and Maintenance Technician to join our team. This role requires a skilled professional with extensive experience in repair and maintenance tasks. As a Field Technician, you will be responsible for performing a variety of maintenance and repair tasks on-site at different locations, ensuring that all equipment and systems are functioning optimally. Bike is mandatory for this jon M- 7303221067",Apna (On behalf of SK Engineering)Click here for more details,"GhaziabadDistrict: Ghaziabad, State: Uttar Pradesh",0 - 31,"wires, Maintenance Engineering, Cable Management, Electrical Works, Electrical Systems, Electrical Wiring, electrical distribution, Electrical Equipments, drills, Wiring circuits, Cabling knowledge, Electrical installation knowledge, Electrical connections, Electrical transmission",Monthly,Full Time,15000 - 18000,1,electrician
Apna (On behalf of Axiom Electricals)Click here for more details,Electrician,Looking for candidates for Electrician,Apna (On behalf of Axiom Electricals)Click here for more details,"AhmedabadDistrict: Ahmedabad, State: Gujarat",1 - 31,"Wiring Diagrams, Electrical Wiring, Wiring circuits, Cabling knowledge, Electrical installation knowledge, Electrical connections",Monthly,Full Time,14000 - 25000,1,electrician
Apna (On behalf of Jade Cucine)Click here for more details,Electrician,Looking for candidates for Electrician,Apna (On behalf of Jade Cucine)Click here for more details,"BangaloreDistrict: Bangalore, State: Karnataka",1 - 31,Electrician / Wireman,Monthly,Full Time,20000 - 25000,1,electrician
Apna (On behalf of Fesper Engineering Private Limited)Click here for more details,Electrician,"Testing control panels according to given testing protocol ,pack and dispatch based on daily target",Apna (On behalf of Fesper Engineering Private Limited)Click here for more details,"ChennaiDistrict: Chennai, State: Tamil Nadu",0 - 31,"Wiring Diagrams, Electrical Works, Electrical Wiring, Electrical Equipments, Wiring circuits, Electrical installation knowledge, Electrical connections",Monthly,Full Time,15000 - 18000,1,electrician
Apna (On behalf of Iris Infotech Solutions)Click here for more details,Electrician,"Core Responsibilities:
Installation:
Installing electrical systems, including wiring, outlets, switches, lighting fixtures, and other electrical components.
Maintenance and Repair:
Ensuring the proper functioning of electrical systems by performing routine maintenance, troubleshooting issues, and repairing or replacing faulty components.
Troubleshooting:
Diagnosing electrical problems using specialized tools and techniques to identify the root cause of malfunctions and implement effective solutions.
Safety Compliance:
Adhering to safety regulations and codes to ensure all electrical work is performed safely and meets industry standards.
Interpretation of Drawings:
Reading and understanding blueprints, schematics, and diagrams to guide the installation and repair of electrical systems.
Cost Estimation:
Estimating the cost of materials, labor, and other resources required for electrical projects.
Record Keeping:
Maintaining accurate records of electrical work performed, including materials used, costs, and any modifications made to the system.
Supervision:
In some cases, supervising and training other electricians or apprentices.

Specific Tasks:
Installing and maintaining electrical wiring in buildings.
Installing and repairing lighting fixtures and controls.
Installing and maintaining electrical components like circuit breakers, transformers, and motors.
Troubleshooting and repairing electrical systems in various settings, including homes, businesses, and industrial facilities.
Testing and inspecting electrical systems to ensure they are safe and functioning correctly.
Working with contractors, architects, and other professionals on construction and renovation projects.
Staying up-to-date on the latest electrical codes and regulations.
Using tools like multimeters, wire strippers, and power drills.
Working with both low voltage and high voltage systems.
Performing emergency electrical repairs.",Apna (On behalf of Iris Infotech Solutions)Click here for more details,N/A,3 - 31,"wires, Cable Management, Electrical Works, Panel Wiring, Electrical Wiring, resistors, Inductors, Cable Installation, Electrical Equipments, Electric motors replacement, Wiring circuits, Cabling knowledge, Electrical installation knowledge, Electrical connections, Transistors",Monthly,Full Time,15000 - 20000,1,electrician
Apna (On behalf of NMS Group)Click here for more details,Electrical Technician,"Urgent Joining For New Open Solar controller Manufacturing

Job Openings Post :- Production, Quality, Testing, Soldering, Store, R&D, Sales,PCB Technician.
Education :- ITI / Diploma/ BE Electrician / Electronics / Wireman/ DE&TC / BE&TC

Payment:- 16000 to 23500 + EPF,ESIC, Bonus, Leave. (INCENTIVE IS PERFORMANCE BASED AND NOT INCLUDED IN SALARY)

Duty Job Timing ,:-
9:00 to 5:30
6:00 to 2:30
2:30 to 11:00
Sunday weekly Off

PCB fitment and Parameter and controller testing

1) ITI/Diploma BE in electrical/electronics.
2) 0-5 Yrs electronics and electrical experience.
3)Basic knowledge of Electronics and Electrical
4) Good team management Skill.
5) Basic knowledge of computers.
6) Worked on AC or DC voltages, Current

Soldering Technician Job
Job Descriptions:
 Worked on Soldering / de-soldering of different Electronics component packages like TQFP, TSSOP, SOIC etc.);
 Worked on AC or DC voltages, Current, VFDs drives testing & measurement;
 Basic knowledge of Electronics / Electrical components, testing & Packages like SMDs, DIP etc.;
 Capable to read, debug electronics circuit, PCBs, system, & PCB assembly No Bus canteen facilities
 Interview Company Address :-NMS SOLUTIONS PRIVATE LIMITED

Address: Canal Road,Laxmi Chowk Near ,Shinde Wasti Marunji Road, Hinjewadi.

Direct Interview

Jobs openings Production, Quality, Testing, Soldering, In word Quality,Store, technician, Helper

  :- NMS Group  8830914925",Apna (On behalf of NMS Group)Click here for more details,"PuneDistrict: Pune, State: Maharashtra",0 - 31,"Electrical Engineering, Electrical Components, Electronics engineering, Soldering, PCB soldering, Electrical Works, Panel Wiring, PCB Knowledge, Electrical Wiring, Electrical Equipments, Solar panels installation, Electrical connections, Electrical assembly, Electrical System Design",Monthly,Full Time,16000 - 33500,1,electrician
Apna (On behalf of Pranavam Infotech)Click here for more details,Cable Technician,"1. Run and pull coaxial, Fiber optic, or Ethernet cables through walls, ceilings, and underground spaces.
2. Perform signal testing and troubleshooting using specialized equipment (e.g., meters, toners).
3. Repair or replace faulty cabling, connectors, or equipment.
4. Provide excellent customer service and explain technical information to non-technical users.
5. Follow safety procedures and comply with company and localregulations.",Apna (On behalf of Pranavam Infotech)Click here for more details,"BangaloreDistrict: Bangalore, State: Karnataka",0 - 31,Electrician / Wireman,Monthly,Full Time,18000 - 25000,1,electrician
Apna (On behalf of Quess Corp Limited)Click here for more details,Meter Installation,"*Walk-In Interview - Electrician (Installer)* 

 *Date:* Saturday , 30th July 2025
 *Time:* 9:00 AM - 4:00 PM
 *Job Locations:* All across *Mumbai*
 *Interview Venue:* Quess Corp Ltd, Ahura Centre, B-Wing, 5th Floor, Mahakali Caves Rd, Andheri East, Mumbai - 400093

 *Apply Now:* https://forms.gle/hb6gjFqcqZw4F6F79

 Role: Meter Installation

 *Eligibility:* ITI Electrician/Wireman preferred or basic electrical knowledge. Own bike + valid license

 *Earnings:* Urban: 90-100/meter (e.g. 700 meters = 70,000) Rural: 120-135/meter (e.g. 700 meters = 94,500)

 *Top Earner Last Month: 1,40,500*

 *Contact:*
Subhash Yadav -9769014424

Regards,
Quess Corp",Apna (On behalf of Quess Corp Limited)Click here for more details,"RaigarhDistrict: Raigarh, State: Maharashtra",0 - 31,"wires, Electrical Works, Electrical Wiring, Electrical Equipments, Wiring circuits, Electrical installation knowledge, Electrical connections",Monthly,Full Time,35000 - 95000,1,electrician
Apna (On behalf of Teamlease Services Limited)Click here for more details,Wireman,"Wireman
Qualification: Plus Two (12th Pass or Diplomo)
CTC: 21,000 (Includes insurance and incentives)
Age Limit: Maximum 35 years
Requirements:

Bike and valid Driving License  Mandatory
Fresher or Experienced candidates can apply
If you are interested in joining our growing team, please send your resume or contact us at:

 7305116024

We look forward to helping you kickstart your career with Airtel.

Apply Now and Become a Part of Our Dynamic Workforce!

Warm regards,

Teamlease Recruitment Team",Apna (On behalf of Teamlease Services Limited)Click here for more details,"ChennaiDistrict: Chennai, State: Tamil Nadu",0 - 31,Electrician / Wireman,Monthly,Full Time,20000 - 23000,1,electrician
Apna (On behalf of SolarSquare Energy Pvt Ltd)Click here for more details,Maintenance Technician,Looking for candidates for Maintenance Technician,Apna (On behalf of SolarSquare Energy Pvt Ltd)Click here for more details,"PuneDistrict: Pune, State: Maharashtra",1 - 31,Electrician / Wireman,Monthly,Full Time,15000 - 17000,1,electrician
Apna (On behalf of Elite Technosys)Click here for more details,Electrician,"Duties/Responsibilities:
 Installs and repairs electrical wiring, systems, and fixtures in buildings.
 Installs conduits and pipes to house electrical wires and cables.
 Ensures piping complies with electrical codes.
 Installs circuit breakers and other electrical hardware and connects
wiring to them.
 Connects electrical systems to powerlines to provide electricity to the
building.
 Tests electrical systems to ensure proper installation and operation.
 Inspects electrical systems to determine whether repairs are needed.
 Replaces conduit and wiring as needed.
 Replaces circuit breakers as needed.
 Performs other related duties as assigned.
Required Skills/Abilities:
 Ability to read blueprints.
 Extensive knowledge of electrical systems and wiring.
 Ability to use hand tools and power tools.
 Proficient in the use of test meters and other diagnostic equipment.
 Excellent analytical and problem-solving skills.",Apna (On behalf of Elite Technosys)Click here for more details,N/A,0 - 31,"Security Monitoring, Installation, Equipment Installation, Electrical Works, Surveillance, security systems, Cctv Installation, CCTV maintenance, CCTV operations, Cabling knowledge, Electrical connections",Monthly,Full Time,10000 - 20000,1,electrician
